CV_ID,Model,Relevant definition,Predicted ranking,Precision@1,Recall@1,MAP@1,NDCG@1,Precision@3,Recall@3,MAP@3,NDCG@3,Precision@5,Recall@5,MAP@5,NDCG@5,MRR
19,TF-IDF baseline,expert top1 union,"[5, 2, 4, 1, 3]",0.0,0.0,0.0,0.0,0.3333,0.5,0.1667,0.3066,0.4,1.0,0.3667,0.5438,0.3333
19,TF-IDF baseline,expert top3 union,"[5, 2, 4, 1, 3]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
19,Hybrid model,expert top1 union,"[5, 4, 1, 3, 2]",0.0,0.0,0.0,0.0,0.3333,0.5,0.25,0.3869,0.4,1.0,0.5,0.6509,0.5
19,Hybrid model,expert top3 union,"[5, 4, 1, 3, 2]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
20,TF-IDF baseline,expert top1 union,"[4, 5, 2, 1, 3]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.325,0.5013,0.25
20,TF-IDF baseline,expert top3 union,"[4, 5, 2, 1, 3]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
20,Hybrid model,expert top1 union,"[4, 5, 3, 1, 2]",0.0,0.0,0.0,0.0,0.3333,0.5,0.1667,0.3066,0.4,1.0,0.4167,0.5706,0.3333
20,Hybrid model,expert top3 union,"[4, 5, 3, 1, 2]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
21,TF-IDF baseline,expert top1 union,"[5, 2, 1, 4, 3]",0.0,0.0,0.0,0.0,0.6667,1.0,0.5833,0.6934,0.4,1.0,0.5833,0.6934,0.5
21,TF-IDF baseline,expert top3 union,"[5, 2, 1, 4, 3]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
21,Hybrid model,expert top1 union,"[5, 3, 4, 1, 2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.325,0.5013,0.25
21,Hybrid model,expert top3 union,"[5, 3, 4, 1, 2]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
22,TF-IDF baseline,expert top1 union,"[5, 4, 1, 2, 3]",0.0,0.0,0.0,0.0,0.6667,1.0,0.5833,0.6934,0.4,1.0,0.5833,0.6934,0.5
22,TF-IDF baseline,expert top3 union,"[5, 4, 1, 2, 3]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
22,Hybrid model,expert top1 union,"[5, 3, 1, 4, 2]",0.0,0.0,0.0,0.0,0.3333,0.5,0.1667,0.3066,0.4,1.0,0.4167,0.5706,0.3333
22,Hybrid model,expert top3 union,"[5, 3, 1, 4, 2]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
23,TF-IDF baseline,expert top1 union,"[2, 5, 3, 1, 4]",1.0,0.5,1.0,1.0,0.3333,0.5,0.5,0.6131,0.4,1.0,0.75,0.8772,1.0
23,TF-IDF baseline,expert top3 union,"[2, 5, 3, 1, 4]",1.0,0.25,1.0,1.0,0.6667,0.5,0.5556,0.7039,0.8,1.0,0.8042,0.9047,1.0
23,Hybrid model,expert top1 union,"[3, 5, 2, 1, 4]",0.0,0.0,0.0,0.0,0.3333,0.5,0.1667,0.3066,0.4,1.0,0.4167,0.5706,0.3333
23,Hybrid model,expert top3 union,"[3, 5, 2, 1, 4]",1.0,0.25,1.0,1.0,0.6667,0.5,0.5556,0.7039,0.8,1.0,0.8042,0.9047,1.0
24,TF-IDF baseline,expert top1 union,"[5, 2, 1, 4, 3]",0.0,0.0,0.0,0.0,0.3333,1.0,0.3333,0.5,0.2,1.0,0.3333,0.5,0.3333
24,TF-IDF baseline,expert top3 union,"[5, 2, 1, 4, 3]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
24,Hybrid model,expert top1 union,"[5, 4, 1, 3, 2]",0.0,0.0,0.0,0.0,0.3333,1.0,0.3333,0.5,0.2,1.0,0.3333,0.5,0.3333
24,Hybrid model,expert top3 union,"[5, 4, 1, 3, 2]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
25,TF-IDF baseline,expert top1 union,"[1, 2, 5, 4, 3]",1.0,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
25,TF-IDF baseline,expert top3 union,"[1, 2, 5, 4, 3]",1.0,0.25,1.0,1.0,0.6667,0.5,0.6667,0.7654,0.8,1.0,0.8875,0.9558,1.0
25,Hybrid model,expert top1 union,"[5, 4, 1, 3, 2]",0.0,0.0,0.0,0.0,0.3333,1.0,0.3333,0.5,0.2,1.0,0.3333,0.5,0.3333
25,Hybrid model,expert top3 union,"[5, 4, 1, 3, 2]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
26,TF-IDF baseline,expert top1 union,"[2, 4, 3, 5, 1]",1.0,0.5,1.0,1.0,0.3333,0.5,0.5,0.6131,0.4,1.0,0.7,0.8503,1.0
26,TF-IDF baseline,expert top3 union,"[2, 4, 3, 5, 1]",1.0,0.25,1.0,1.0,0.6667,0.5,0.5556,0.7039,0.8,1.0,0.8042,0.9047,1.0
26,Hybrid model,expert top1 union,"[3, 4, 2, 5, 1]",0.0,0.0,0.0,0.0,0.3333,0.5,0.1667,0.3066,0.4,1.0,0.3667,0.5438,0.3333
26,Hybrid model,expert top3 union,"[3, 4, 2, 5, 1]",1.0,0.25,1.0,1.0,0.6667,0.5,0.5556,0.7039,0.8,1.0,0.8042,0.9047,1.0
27,TF-IDF baseline,expert top1 union,"[5, 1, 2, 4, 3]",0.0,0.0,0.0,0.0,0.3333,0.5,0.1667,0.3066,0.4,1.0,0.4167,0.5706,0.3333
27,TF-IDF baseline,expert top3 union,"[5, 1, 2, 4, 3]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
27,Hybrid model,expert top1 union,"[5, 3, 4, 1, 2]",0.0,0.0,0.0,0.0,0.3333,0.5,0.1667,0.3066,0.4,1.0,0.3667,0.5438,0.3333
27,Hybrid model,expert top3 union,"[5, 3, 4, 1, 2]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
28,TF-IDF baseline,expert top1 union,"[1, 2, 5, 4, 3]",1.0,0.5,1.0,1.0,0.6667,1.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0
28,TF-IDF baseline,expert top3 union,"[1, 2, 5, 4, 3]",1.0,0.25,1.0,1.0,0.6667,0.5,0.6667,0.7654,0.8,1.0,0.8875,0.9558,1.0
28,Hybrid model,expert top1 union,"[4, 5, 3, 1, 2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.325,0.5013,0.25
28,Hybrid model,expert top3 union,"[4, 5, 3, 1, 2]",1.0,0.25,1.0,1.0,0.6667,0.5,0.5556,0.7039,0.8,1.0,0.8042,0.9047,1.0
29,TF-IDF baseline,expert top1 union,"[2, 5, 4, 1, 3]",0.0,0.0,0.0,0.0,0.3333,1.0,0.5,0.6309,0.2,1.0,0.5,0.6309,0.5
29,TF-IDF baseline,expert top3 union,"[2, 5, 4, 1, 3]",1.0,0.3333,1.0,1.0,0.6667,0.6667,0.6667,0.7654,0.6,1.0,0.9167,0.9675,1.0
29,Hybrid model,expert top1 union,"[5, 4, 3, 1, 2]",1.0,1.0,1.0,1.0,0.3333,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0
29,Hybrid model,expert top3 union,"[5, 4, 3, 1, 2]",1.0,0.3333,1.0,1.0,0.3333,0.3333,0.3333,0.4693,0.6,1.0,0.7,0.8529,1.0
30,TF-IDF baseline,expert top1 union,"[2, 4, 5, 1, 3]",1.0,0.5,1.0,1.0,0.3333,0.5,0.5,0.6131,0.4,1.0,0.75,0.8772,1.0
30,TF-IDF baseline,expert top3 union,"[2, 4, 5, 1, 3]",1.0,0.25,1.0,1.0,0.6667,0.5,0.6667,0.7654,0.8,1.0,0.8875,0.9558,1.0
30,Hybrid model,expert top1 union,"[5, 4, 3, 1, 2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.325,0.5013,0.25
30,Hybrid model,expert top3 union,"[5, 4, 3, 1, 2]",0.0,0.0,0.0,0.0,0.6667,0.5,0.3889,0.5307,0.8,1.0,0.6792,0.7606,0.5
